,Residential,Residential
Date,2020-03-29,2020-04-05
FIPS,,
1001,16.0,17.0
1003,9.0,11.0
1005,,
1007,,
1009,15.0,14.0
1011,,
1013,,
1015,8.0,11.0
1017,13.0,15.0
1019,,
1021,14.0,13.0
1023,,
1025,,
1027,,
1029,,
1031,11.0,13.0
1033,12.0,12.0
1035,,
1037,,
1039,7.0,8.0
1041,,
1043,8.0,9.0
1045,11.0,12.0
1047,5.0,5.0
1049,11.0,12.0
1051,8.0,16.0
1053,7.0,7.0
1055,9.0,11.0
1057,,
1059,5.0,5.0
1061,-2.0,-2.0
1063,,
1065,,
1067,,
1069,9.0,11.0
1071,12.0,12.0
1073,11.0,13.0
1075,,
1077,9.0,8.0
1079,7.0,7.0
1081,11.0,13.0
1083,9.0,10.0
1085,,
1087,,
1089,10.0,13.0
1091,,
1093,,
1095,8.0,8.0
1097,9.0,11.0
1099,,
1101,11.0,13.0
1103,8.0,11.0
1105,,
1107,,
1109,0.0,0.0
1111,,
1113,13.0,16.0
1115,9.0,10.0
1117,12.0,14.0
1119,,
1121,7.0,10.0
1123,13.0,14.0
1125,12.0,13.0
1127,12.0,13.0
1129,,
1131,,
1133,,
2122,14.0,14.0
4001,20.0,17.0
4003,8.0,9.0
4005,12.0,13.0
4007,11.0,11.0
4009,11.0,12.0
4011,,
4012,,
4013,10.0,11.0
4015,9.0,9.0
4017,10.0,11.0
4019,10.0,11.0
4021,8.0,9.0
4023,18.0,19.0
4025,9.0,9.0
4027,10.0,11.0
5001,,
5003,,
5005,11.0,13.0
5007,9.0,11.0
5009,14.0,17.0
5011,,
5015,-1.0,-1.0
5017,,
5019,,
5021,,
5023,,
5025,,
5027,,
5029,,
5031,4.0,7.0
5033,14.0,16.0
5035,15.0,15.0
5037,,
5039,,
5041,,
5043,,
5045,8.0,10.0
5047,,
5049,,
5051,7.0,9.0
5053,,
5055,12.0,14.0
5057,,
5059,10.0,8.0
5061,,
5063,13.0,12.0
5065,,
5067,,
5069,11.0,12.0
5071,-2.0,-2.0
5075,,
5079,,
5081,,
5083,,
5085,15.0,16.0
5087,,
5089,,
5091,12.0,15.0
5093,10.0,11.0
5095,,
5097,,
5099,,
5101,,
5103,,
5105,,
5107,,
5109,,
5111,,
5113,,
5115,12.0,14.0
5117,,
5119,9.0,9.0
5121,,
5123,,
5125,7.0,8.0
5127,,
5129,,
5131,7.0,9.0
5133,,
5135,,
5137,,
5139,8.0,9.0
5141,,
5143,8.0,11.0
5145,9.0,13.0
5149,,
6001,17.0,18.0
6005,0.0,0.0
6007,11.0,12.0
6009,10.0,10.0
6011,,
6013,15.0,17.0
6015,,
6017,13.0,15.0
6019,11.0,13.0
6021,2.0,2.0
6023,11.0,12.0
6025,16.0,17.0
6027,,
6029,11.0,11.0
6031,10.0,11.0
6033,16.0,15.0
6035,,
6037,17.0,17.0
6039,11.0,12.0
6041,17.0,18.0
6043,,
6045,17.0,16.0
6047,11.0,13.0
6049,,
6051,,
6053,14.0,16.0
6055,18.0,19.0
6057,15.0,17.0
6059,17.0,18.0
6061,13.0,15.0
6063,,
6065,14.0,15.0
6067,13.0,15.0
6069,23.0,22.0
6071,14.0,14.0
6073,15.0,16.0
6075,21.0,22.0
6077,12.0,14.0
6079,13.0,16.0
6081,19.0,20.0
6083,13.0,16.0
6085,17.0,19.0
6087,15.0,18.0
6089,9.0,10.0
6093,13.0,10.0
6095,13.0,14.0
6097,15.0,15.0
6099,11.0,13.0
6101,13.0,15.0
6103,15.0,13.0
6105,,
6107,11.0,11.0
6109,14.0,12.0
6111,14.0,15.0
6113,13.0,16.0
6115,13.0,14.0
8001,13.0,12.0
8003,,
8005,14.0,13.0
8007,,
8011,,
8013,15.0,15.0
8015,,
8019,,
8021,,
8029,5.0,5.0
8031,16.0,14.0
8035,14.0,13.0
8037,26.0,26.0
8039,0.0,0.0
8041,12.0,11.0
8043,14.0,15.0
8045,22.0,20.0
8047,,
8049,,
8051,,
8055,,
8059,14.0,13.0
8063,,
8065,,
8067,25.0,21.0
8069,13.0,12.0
8071,,
8073,,
8075,,
8077,9.0,7.0
8081,,
8083,-1.0,-1.0
8085,17.0,13.0
8087,14.0,16.0
8089,,
8091,,
8093,,
8097,,
8099,,
8101,9.0,8.0
8103,,
8105,,
8107,-2.0,-2.0
8109,,
8113,,
8117,5.0,5.0
8119,-1.0,-1.0
8121,,
8123,12.0,11.0
8125,,
9001,17.0,16.0
9003,13.0,12.0
9005,13.0,11.0
9007,15.0,13.0
9009,14.0,13.0
9011,15.0,13.0
9013,14.0,14.0
9015,12.0,11.0
10001,11.0,11.0
10003,13.0,12.0
10005,11.0,11.0
12001,12.0,14.0
12003,-3.0,-3.0
12005,8.0,10.0
12007,0.0,0.0
12009,11.0,14.0
12011,16.0,18.0
12013,,
12015,10.0,13.0
12017,9.0,12.0
12019,10.0,13.0
12021,14.0,16.0
12023,8.0,11.0
12027,12.0,9.0
12029,,
12031,10.0,13.0
12033,9.0,11.0
12035,10.0,13.0
12037,,
12039,14.0,17.0
12041,,
12043,,
12045,,
12047,,
12049,,
12051,12.0,15.0
12053,10.0,12.0
12055,9.0,12.0
12057,14.0,15.0
12059,,
12061,11.0,14.0
12063,12.0,13.0
12065,,
12067,,
12069,12.0,14.0
12071,12.0,14.0
12073,11.0,13.0
12075,12.0,15.0
12077,,
12079,,
12081,11.0,14.0
12083,9.0,12.0
12085,12.0,14.0
12086,18.0,19.0
12087,15.0,16.0
12089,10.0,13.0
12091,9.0,12.0
12093,11.0,14.0
12095,17.0,19.0
12097,18.0,19.0
12099,15.0,17.0
12101,11.0,13.0
12103,12.0,14.0
12105,11.0,14.0
12107,9.0,11.0
12109,11.0,14.0
12111,11.0,14.0
12113,9.0,10.0
12115,11.0,14.0
12117,13.0,16.0
12119,10.0,14.0
12121,11.0,14.0
12123,,
12125,,
12127,10.0,14.0
12129,16.0,17.0
12131,9.0,13.0
12133,,
13001,,
13003,,
13005,,
13009,13.0,12.0
13011,,
13013,11.0,14.0
13015,9.0,10.0
13017,,
13019,,
13021,10.0,12.0
13023,,
13025,,
13027,,
13029,18.0,20.0
13031,9.0,19.0
13033,,
13035,-1.0,-1.0
13039,16.0,18.0
13043,,
13045,10.0,11.0
13047,16.0,20.0
13049,,
13051,11.0,13.0
13053,,
13055,,
13057,12.0,14.0
13059,12.0,14.0
13063,11.0,13.0
13065,,
13067,13.0,15.0
13069,11.0,14.0
13071,13.0,15.0
13073,11.0,13.0
13075,,
13077,11.0,13.0
13079,,
13081,,
13083,,
13085,0.0,0.0
13087,-3.0,-3.0
13089,13.0,15.0
13091,,
13093,,
13095,11.0,13.0
13097,11.0,13.0
13099,,
13103,16.0,17.0
13105,,
13107,,
13109,,
13111,,
13113,13.0,17.0
13115,9.0,10.0
13117,13.0,15.0
13119,,
13121,13.0,15.0
13123,2.0,2.0
13127,10.0,13.0
13129,15.0,18.0
13131,-1.0,-1.0
13133,,
13135,15.0,16.0
13137,13.0,16.0
13139,10.0,12.0
13141,,
13143,8.0,8.0
13145,13.0,13.0
13147,,
13149,,
13151,12.0,14.0
13153,10.0,13.0
13155,,
13157,16.0,19.0
13159,,
13161,,
13163,,
13165,,
13167,,
13169,8.0,8.0
13171,,
13173,,
13175,14.0,16.0
13177,11.0,11.0
13179,10.0,19.0
13181,,
13183,,
13185,8.0,10.0
13187,6.0,6.0
13189,,
13191,,
13193,,
13195,8.0,8.0
13197,,
13199,,
13201,,
13205,,
13207,-2.0,-2.0
13209,,
13211,,
13213,13.0,18.0
13215,9.0,12.0
13217,10.0,13.0
13219,0.0,0.0
13221,,
13223,11.0,13.0
13225,7.0,7.0
13227,9.0,9.0
13229,,
13231,,
13233,12.0,15.0
13235,,
13237,,
13241,,
13243,,
13245,8.0,11.0
13247,12.0,13.0
13249,,
13251,,
13253,,
13255,8.0,16.0
13257,1.0,1.0
13261,1.0,1.0
13263,,
13267,,
13269,,
13271,,
13273,,
13275,15.0,17.0
13277,14.0,15.0
13279,-2.0,-2.0
13281,,
13283,,
13285,10.0,21.0
13287,,
13289,,
13291,,
13293,-4.0,-4.0
13295,15.0,17.0
13297,9.0,13.0
13299,11.0,11.0
13301,,
13303,,
13305,-2.0,-2.0
13311,9.0,9.0
13313,9.0,15.0
13315,,
13317,,
13319,,
13321,,
15001,15.0,14.0
15003,16.0,16.0
15007,26.0,23.0
15009,17.0,17.0
16001,11.0,11.0
16005,9.0,9.0
16007,,
16009,,
16011,14.0,15.0
16013,,
16015,,
16017,14.0,16.0
16019,9.0,9.0
16021,,
16027,9.0,9.0
16029,,
16031,0.0,0.0
16035,,
16039,14.0,14.0
16041,,
16043,,
16045,,
16047,,
16049,,
16051,9.0,9.0
16053,6.0,6.0
16055,10.0,10.0
16057,20.0,20.0
16059,,
16063,,
16065,20.0,20.0
16067,1.0,1.0
16069,18.0,16.0
16071,,
16073,,
16075,5.0,5.0
16077,,
16079,,
16081,,
16083,8.0,8.0
16085,,
16087,,
17001,16.0,16.0
17003,,
17005,,
17007,21.0,20.0
17011,3.0,3.0
17015,,
17017,,
17019,13.0,12.0
17021,9.0,9.0
17023,,
17025,,
17027,14.0,14.0
17029,18.0,16.0
17031,15.0,14.0
17033,,
17035,,
